id,time,noticia,sentiment
28,cruzeiro,"Fala, galera! O time das Dicas Econômicas está de olho no duelo entre Ceará e Atlético-MG , no Castelão. Considerando as últimas seis rodadas do Cartola 2025, o confronto coloca o terceiro melhor mandante frente ao quarto melhor visitante. Portanto, são cinco indicações dessa partida no esquadrão de baixo custo. Escale seu time! O mercado fica aberto até sábado, às 18h29 (de Brasília) . Clique aqui e escale seu time! + Quanto vale a pontuação de cada scout no Cartola? + Seja PRO por R$ 4,99 ao mês para brilhar no Cartola! + Confira a playlist de vídeos do Cartola Esta matéria será atualizada até o dia do fechamento do mercado caso a escalação acima sofra alguma alteração. O banco de reservas das Dicas Econômicas foi preenchido com jogadores que têm boas chances de valorização. Os scouts abaixo são dos jogos do Cartola 2025. Matheus Bahia (lateral do Ceará) - C$ 10.16: média de 10.82 nos quatro jogos em casa, com três SG's, uma assistência, 13 desarmes, cinco faltas recebidas e três finalizações. Lucas Mugni (meia do Ceará) - C$ 8.74: média de 11.80 nos últimos dois jogos em casa, com um gol, uma assistência, seis desarmes, três faltas recebidas e uma FF. Léo Condé (técnico do Ceará) - C$ 8.81: nas últimas seis rodadas, o Ceará tem a terceira melhor média geral mandante (80.80) e a segunda melhor média mandante de defesa (50.33). Natanael (lateral do Atlético-MG) - C$ 8.89: média de 16.30 nos dois últimos jogos fora, com dois SG's, 12 desarmes, três FF's, uma FF e uma falta recebida. Rubens (meia do Atlético-MG) - C$ 8.28 : média de 8.77 nos últimos quatro jogos fora, com 19 desarmes, cinco faltas recebidas, duas FD's e quatro FF's. Marcos Felipe (goleiro do Bahia) - C$ 7.28: média de 8.63 nos três jogos em casa, com dois SG's e 13 defesas. Erick Pulga (atacante do Bahia) - C$ 9.28 : média de 10.50 nos últimos quatro jogos em casa, com dois gols, uma assistência, nove desarmes, 11 faltas recebidas e cinco FF's. Cacá (zagueiro do Corinthians) - C$ 6.52: fez 5.80 no último jogo em casa, com um SG e um FF. Edson Carioca (atacante do Mirassol) - C$ 7.26: média de 10.10 nos três jogos em casa, com dois gols, outras seis finalizações, uma assistência, dois desarmes e quatro faltas recebidas. Léo Ortiz (zagueiro do Flamengo) - C$ 6.64: média de 8.46 nos últimos três jogos em casa, com três SG's, quatro desarmes, uma trave, duas FF's e duas faltas recebidas. Lucas Romero (meia do Cruzeiro) - C$ 8.17: média de 7.42 nos últimos quatro jogos em casa, com um gol, uma assistência, 10 desarmes, sete faltas recebidas e uma FF. Sábado, 31/05 18h30 - Bahia x São Paulo 21h00 - Vasco x Bragantino Domingo, 01/06 11h00 - Mirassol x Sport 16h00 - Santos x Botafogo 16h00 - Juventude x Grêmio 18h30 - Flamengo x Fortaleza 18h30 - Corinthians x Vitória 18h30 - Ceará x Atlético-MG 19h30 - Cruzeiro x Palmeiras 20h30 - Internacional x Fluminense",
29,cruzeiro,"A escala de arbitragem de Cruzeiro x Palmeiras, no próximo domingo, precisou ser alterada pela CBF. Marcelo de Lima Henrique, protagonista de polêmica com o clube na segunda rodada do Campeonato Brasileiro e afastado por causa da situação, estava escalado para ser árbitro de VAR 2, mas foi retirado da lista do jogo no Mineirão, após uma reclamação da Raposa. O nome de Marcelo de Lima Henrique constava na lista para auxiliar Diogo Carvalho Silva (RJ) na assistência do VAR. Entretanto, após o apontamento da Raposa, a troca foi realizada, com Carlos Eduardo Nunes Braga passando a participando da equipe. No jogo da polêmica, contra o Internacional, ele relatou xingamentos por parte de membros da diretoria e da comissão técnica. - Informo que, no intervalo do jogo enquanto a equipe de arbitragem se dirigia para o vestiário, o sr. Hélio de Carvalho, analista de desempenho da equipe do Cruzeiro Esporte Clube- SAF, proferiu as seguintes palavras para mim: ""Você está velho, não quer mais correr, tem que treinar mais, pode me relatar, eu sou o Hélio"". O dono do Cruzeiro , o empresário Pedro Lourenço, também teria proferido palavras contra o árbitro. - Informo também que, no final do jogo, enquanto a equipe de arbitragem se dirigia para o vestiário, o sr. Pedro Lourenço, dono do Cruzeiro Esporte Clube- SAF, proferiu as seguintes palavras para mim: ""Que palhaçada você fez aqui hoje"". No áudio disponibilizado pelo VAR, é possível ouvir que Marcelo de Lima Henrique, árbitro de campo, inicialmente sinaliza, repetidamente, que puniria o zagueiro com cartão amarelo. Logo na sequência, ele informa à cabine de VAR que apresentaria vermelho por ""dogso"" - sigla que, em português, significa ""negação de uma oportunidade clara de gol"". No VAR, Daiane Muniz analisa o lance e dá razão ao árbitro de campo, citando que houve contato imprudente e que o lateral-esquerdo Kaiki, que estava na disputa do lance, não evitaria o arremate de Wesley. - Pela (câmera) 4 baixa, eu consigo, claramente, ver um contato imprudente do jogador 34. Aqui (toque entre joelhos) é o momento que impacta. Está confirmado o dogso, porque eu tenho o outro defensor, mas ele está atrás da linha da bola e não tem condições de disputar a bola com o atacante, que tem domínio, velocidade, distância curta à meta e só o goleiro na frente. A informação foi divulgada inicialmente pelo perfil Central da Toca e confirmado pelo ge . O árbitro de Cruzeiro x Palmeiras, no domingo, será Rodrigo Jose Pereira de Lima, de Pernambuco. Ele se envolveu em um episódio com Matheus Pereira na partida contra o São Paulo, na terceira rodada . O jogador pediu a substituição de Ferreira, que estava no gramado sentindo cãibra. O meia cruzeirense foi retirado pelos atletas do Tricolor e, após isso, acabou levando um amarelo. Mas com uma surpresa. O árbitro da partida, Rodrigo Jose Pereira de Lima (PE), foi anotar o nome do atleta no cartão amarelo. Mas, aparentemente, não sabia o nome do 10 do Cruzeiro , que se surpreendeu.",neutral
30,cruzeiro,"O atacante Dinenno, do Cruzeiro , tem tentado voltar aos bons tempos da carreira, mas a recuperação técnica tem sido mais difícil. O jogador, que entrou no segundo tempo contra o Unión Santa Fé, pela Conmebol Sul-Americana, demonstrou chateação com a performance na partida e explicou os motivos. - Fiquei um pouco chateado. Foram poucos minutos e, nesses minutos, eu quero ser efetivo e não consegui outra vez. Éramos mandante, tínhamos que ganhar. Queríamos ganhar também para a torcida que veio hoje, por mais que não significasse muito, porque já estamos fora, mas queríamos muito. Não conseguimos, mas a gente tentou. O atacante ficou oito meses sem atuar, após romper o ligamento cruzado anterior do joelho direito. Liberado para jogar em abril deste ano, Dinenno esteve em cinco partidas, todos entrando no segundo tempo. O atacante não marcou nenhum gol e deu uma assistência. Dinneno revela que tem se cobrado para poder performar melhor, mas que a concorrência no ataque está assídua, diminuindo as chances dele entrar em campo com mais frequência. - A gente sabe que é um processo, mas não é fácil. Uma coisa é voltar a jogar, outra coisa é voltar a performar. Eu faço tudo para conseguir, mas estamos numa encruzilhada, porque para performar, eu preciso jogar, mas, para jogar, preciso performar. O grupo está num momento muito competitivo e, quem jogar, está jogando muito bem. ""Não vou jogar por uma questão de caridade. Eu faço o que está ao meu alcance, o treinador sabe, todo mundo sabe o que preciso, e o que preciso é performar quando tenho minuto, como hoje. Mas é dia a dia, tentar e continuar tentando."" O camisa 99 do Cruzeiro foi contratado no ano passado, ainda na gestão de Ronaldo Fenômeno, e era o artilheiro da equipe até romper o ligamento cruzado anterior do joelho direito, em agosto. Foram oito gols em 22 partidas.",negative
31,cruzeiro,"O Cruzeiro encerrou a campanha vexatória da Conmebol Sul-Americana com um empate sem graça e sem gols diante do Unión, no Mineirão. Entrou em campo já eliminado e fez um jogo que valeu somente para a manutenção da sequência sem derrotas. A queda precisa deixar lições, ainda que o momento seja (com razão) de otimismo e minimize o gosto amargo deixado pelo torneio continental. O duelo com o Unión foi protocolar, assim como foi a vitória diante do Palestino, também no Mineirão. Mas, desta vez, um jogo ruim, em ritmo de amistoso, com pouquíssimos aspectos para serem aproveitados. Dos mais usado, Walace talvez seja exceção, com bom jogo firme no meio-campo. Os garotos da base não se destacaram, mas ao menos tiveram minutos para maturação naquele que talvez tenha sido último momento que não valha na temporada. Os cinco pontos foram conquistados pelo time no returno, quando já estava em fase complicada na competição. Curiosamente, foi quando Leonardo Jardim mais rodou o elenco, gerindo a parte física dos considerados titulares e dando minutagem a outros sem tanto espaço. Isso mostra que o grupo havia obrigação de classificação do time. É verdade que o treinador também não usou força máxima nas derrotas para Unión Santa Fé e Palestino, no primeiro turno, mas não estava no planejamento a eliminação. O Cruzeiro se complicou sozinho – por vários motivos – e, agora, precisa usar essa queda a seu favor. O principal motivo da eliminação, sem dúvida, foi o erro de planejamento da diretoria. Trocou técnico com três jogos oficiais no ano, viu o Campeonato Mineiro perder a função de “laboratório” e teve que trocar os pneus com o carro em movimento. O resultado foi visto com a queda na semifinal do Mineiro, mas também com a eliminação na Sul-Americana. Leonardo Jardim disputou ao menos um terço dos jogos do torneio tateando o elenco e buscando jogadores e formação ideais. Claro, pelo nível de investimento e na comparação com os adversários, o Cruzeiro deveria ter desempenhado melhor nas duas derrotas que abriram o torneio. Jardim e jogadores têm culpa, mas não dá para ignorar o contexto de um planejamento malfeito. A terceira rodada, quando o Cruzeiro já dava seus últimos suspiros, aconteceu com o time ainda oscilante, mas demonstrando crescimento. A derrota diante do Palestino, que praticamente enterrou as chances de classificação, teve o peso grande de erros individuais e até de um emocional fraco. Aquela foi a última derrota do time, há mais de 30 dias. E o período que marcou a rodagem do elenco demonstrou também que houve falha de planejamento na montagem do grupo. Está claro que é desequilibrado , como assumido pelo próprio Leonardo Jardim, que tem encontrado boas soluções individuais para conseguir minimizar esses erros. O Cruzeiro queria sim brigar nas cabeças da Sul-Americana. Era esse o planejamento no início do ano, e ninguém até hoje negou. Mas, agora, é passado, e o clube precisa usar os espaços do calendário como um trunfo nas brigas mais importantes de 2025: o Brasileirão e a Copa do Brasil . Hoje, entre os dez primeiros colocados da Série A, cinco estão envolvidos em competições continentais. O Cruzeiro terá, no mínimo, duas semanas livres a mais que esses adversários, além de não ter jogos durante os 30 dias da Copa do Mundo de Clubes, diferentemente de Flamengo, Fluminense e Palmeiras, integrantes do G-6. E esse segue sendo o principal objetivo do Cruzeiro no ano: terminar com vaga na Libertadores 2026. Nesse aspecto, segue vivo em duas frentes, classificado às oitavas de final da Copa do Brasil e bem colocado no Campeonato Brasileiro. O Cruzeiro, apesar de dois fracassos esportivos no primeiro semestre, chega neste momento da temporada com alentos pensando na sequência. O principal deles é que o trabalho de Leonardo Jardim está em evolução; o segundo – consequência do primeiro – é que há peças individuais em crescimento. É raro falar desta forma após uma eliminação precoce, mas o horizonte é positivo para o restante de 2025, desde que o Cruzeiro siga trabalhando da forma correta, dentro e fora de campo. Inclusive nas janelas de transferências que estão chegando.",neutral
32,flamengo,"O Flamengo se classificou para as oitavas de final da fase de grupos da Libertadores. A vaga veio com uma sofrida vitória sobre o Deportivo Táchira, na quarta-feira, no Maracanã. O Rubro-Negro já arrecadou 3,9 milhões de dólares até o momento - pouco mais de R$ 22 milhões. A Conmebol, como de costume, paga pela participação em cada fase da competição. E, quando se trata da fase de grupos, ainda paga um valor por cada vitória. Na campanha, o Flamengo conseguiu três vitórias, dois empates e uma derrota. Campanha do Flamengo Pela vaga nas oitavas, o clube também receberá mais 1,25 milhão de dólares - R$ 7 milhões na cotação atual. Somados à campanha na fase de grupos, o Flamengo vai receber ao todo, pelo menos, R$ 29 milhões. O Flamengo terminou como segundo colocado do Grupo C e aguarda o sorteio para conhecer o adversário das oitavas de final. Os confrontos estão previstos para o mês de agosto. + Compre já seus ingressos para os jogos do Flamengo + ✅Clique aqui para seguir o novo canal ge Flamengo no WhatsApp + O mercado do Cartola vai fechar! Monte seu time agora! Assista: tudo sobre o Flamengo no ge, na Globo e no sportv",positive
33,flamengo,"Agustin Daniel Rossi poderia ser considerado um mero coadjuvante desde a sua chegada ao Flamengo , em 2023. Mas o goleiro argentino, de 29 anos, tem provado que o tempo pode tornar protagonistas aqueles personagens que quase sempre passam despercebidos. A prova disso foi vista na noite desta quarta-feira, no Maracanã. A vitória do Flamengo por 1 a 0 e o inesperado sofrimento para garantir a classificação às oitavas de final tinham em seus papéis principais, até então, a forte retranca do Deportivo Táchira (Venezuela) e os responsáveis por derrubá-la: Luiz Araújo cobrou falta no pé esquerdo de Léo Pereira. Esse foi o gol salvador da vaga rubro-negra às oitavas de final da Libertadores, aos 20 do segundo tempo. Enquanto isso, Rossi vivia apenas mais uma noite em que sua presença em campo só era notada nas raras vezes em que o time venezuelano passava da linha do meio de campo e arriscava alguma jogada mal sucedida. O principal ato do goleiro foi reclamar ao ouvir vaias vindas dos mais de 66 mil torcedores descontentes com o desempenho ao fim do apático primeiro tempo sem gols – o resultado naquele momento eliminava precocemente o time na fase de grupos. +Atuações do Flamengo: Rossi e Léo Pereira são os melhores em vitória sofrida; dê suas notas +Filipe Luís cita vice do City para explicar dificuldade do Flamengo contra Táchira: ""Dez na área"" O sinal de desaprovação direcionado aos torcedores era quase a cena de um anti-herói: personagens assim estão mais próximos da realidade do que aqueles heróis com roteiro desenhado e com perfil facilmente identificado. Talvez seja por isso que Rossi esteja cada vez mais caindo nas graças do torcedor rubro-negro. A vontade de permanecer no Rio mesmo após ter tido o carro baleado neste mês também é algo a ser levado em questão na relação Rossi e Flamengo. A forma como superou a violência urbana parece ser reflexo de uma das principais habilidades do argentino: a frieza. Característica que ajudou na classificação. Aos 49 minutos do segundo tempo, o coadjuvante assumiu o papel de protagonista e grande nome da partida. O Táchira agitou os minutos finais e se jogou ao ataque. Depois de uma cobrança de escanteio, a bola sobrou na pequena área para Cano. O atacante do Deportivo Táchira finalizou cara a cara com Rossi, que usou os pés para evitar o gol de empate e da eliminação do Flamengo na Libertadores. +Vini Jr., João Gomes e Paquetá assistem ao jogo do Flamengo na Libertadores no Maracanã A defesa que garantiu o alívio após o apito final mudou o gesto de Rossi em direção aos torcedores no Maracanã. A desaprovação pelas vaias foi substituída pelos aplausos do goleiro. Foi um ato de reconhecimento de um protagonista que revelou o problema crônico do Flamengo nesta edição de Libertadores: complicar jogos fáceis jogando em casa. - Eu acho que é um pouco desnecessário porque o que a gente queria era classificar e classificamos. É para comemorar. Agora vem a fase das oitavas, a gente está vivo no Brasileirão, a gente passou na Copa do Brasil... Estamos muito felizes por isso. Nesse sentido, acho que é desnecessário. Sei que todo mundo quer definir em casa, mas ano passado ganhamos a Copa do Brasil decidindo fora. O mais importante é sempre contar com o apoio do torcedor - comentou Rossi na zona mista, quando questionado sobre as vaias da torcida. + Compre já seus ingressos para os jogos do Flamengo + ✅Clique aqui para seguir o novo canal ge Flamengo no WhatsApp + O mercado do Cartola vai fechar! Monte seu time agora! O time de Filipe Luís sofreu muito mais do que deveria nos jogos no Maracanã nesta fase de grupos. Começou a Libertadores perdendo para o Central Córdoba, venceu a LDU em jogo que só a vitória interessava para se manter vivo na classificação e venceu Deportivo Táchira porque teve ""mais Rossi do que juízo"". Essa foi uma das frases mais ouvidas na noite de quarta-feira. No roteiro de 2025, o Flamengo agora coleciona mais um protagonista candidato a herói e que também já provou a importância que um coadjuvante tem para formar um elenco forte. Assista: tudo sobre o Flamengo no ge, na Globo e no sportv",positive
34,flamengo,"A diferença entre doloso e culposo no ""juridiquês"" pode ser resumida em com ou sem intenção. E o segundo termo virou uma espécie de meme na classificação com sufoco do Flamengo na Conmebol Libertadores. Seja pela atuação ruim na vitória derradeira sobre o Deportivo Táchira no Maracanã, ou pela campanha inteira na fase de grupos, a verdade é que o time de Filipe Luís atingiu o seu objetivo sem fazer muito por onde. O sentimento do torcedor foi mais de alívio do que outra coisa, como ficou evidente com as vaias no apito final. + Filipe Luís cita vice do City para explicar dificuldade do Flamengo contra Táchira: ""Dez na área"" + Vini Jr., João Gomes e Paquetá assistem ao jogo do Flamengo na Libertadores no Maracanã Apesar de toda a oscilação, o Flamengo ainda poderia ter sido líder do grupo, mas desperdiçou essa chance. Bastava vencer com uma diferença de gols igual ou maior do que a da LDU, que fez 3 a 0 no Central Córdoba jogando na altitude de Quito. O time argentino, que acabou eliminado, deixa a Libertadores sem ser derrotado pelo Rubro-Negro, que por sua vez, nos dois jogos contra a equipe de pior campanha, entre todas as 32 do torneio, venceu só por 1 a 0 com sustos no fim . A esperada goleada contra um adversário já eliminado e que cumpria tabela em nenhum momento ameaçou acontecer na noite da última quarta-feira. O Flamengo fez um primeiro tempo muito ruim, um dos piores da ""Era Filipe Luís"", e não conseguiu furar a retranca venezuelana diante de mais de 66 mil pessoas no Maracanã. Foram 56% de posse de bola e sete finalizações, mas apenas uma única chance de gol: aos 42 minutos, o goleiro saiu mal num escanteio, Pedro se desvencilhou do marcador na segunda trave e chutou para fora, com o gol aberto (veja no vídeo abaixo) . Como o técnico admitiria depois na entrevista coletiva, os jogadores estavam muito ansiosos em campo no primeiro tempo. Por isso erravam com frequência desde fundamentos às tomadas de decisões. Filipe Luís conseguiu controlar os ânimos da rapaziada no vestiário e, junto com a entrada de Bruno Henrique, o time foi outro na etapa final. Com menos de 10 minutos, criou duas chances claras: uma cabeçada defendida à queima-roupa de Gerson e um chute fraquinho de Arrascaeta na área após ótimo contra-ataque (veja nos vídeos abaixo) . + Compre já seus ingressos para os jogos do Flamengo O gol do alívio saiu na bola parada: aos 20, Luiz Araújo cobrou falta, Léo Pereira apareceu livre vindo de trás em velocidade, e a finalização de primeira foi perfeita. O problema é que depois o Flamengo de novo deixou de jogar. Filipe Luís tirou Pedro e Arrascaeta, e a bola começou a bater no ataque e a voltar sem alguém para segurá-la lá. O técnico até colocou o Evertton Araújo em campo para adiantar o Gerson, mas o Táchira começou a sair mais. E no abafa nos acréscimos, Lucas Cano ficou cara a cara com Rossi e parou no goleiro (veja no vídeo abaixo) . Parafraseando o repórter Richard Souza, da TV Globo, o Flamengo ""teve mais Rossi que juízo"". O Rubro-Negro terminou o jogo com 54% de posse, 19 finalizações contra oito, e quatro chances de gol contra uma dos venezuelanos. Mas flertando com o que seria uma trágica eliminação precoce em caso de empate . O desabamento de jogadores em campo ao soar do apito final mostra das duas uma: a parte física começou a pesar no meio da temporada, ou o fator emocional tem feito os atletas correrem errado e se desgastarem muito mais do que o necessário. ✅Clique aqui para seguir o novo canal ge Flamengo no WhatsApp Questionado sobre a força mental do time, Filipe Luís saiu em defesa dos jogadores na entrevista coletiva e citou alguns feitos, como os títulos da Copa do Brasil e da Supercopa conquistados sobre os dois finalistas da Libertadores do ano passado. Mas um exemplo prático que poderia ter sido feito na última quarta-feira: quando sai o gol de Léo Pereira, os atletas vão comemorar ao invés de pegarem a bola e levarem para o meio de campo, pois o Flamengo ainda poderia ser líder se fizesse mais gols . A classificação, ainda que em segundo lugar em uma chave que parecia ser tranquila, por ora é suficiente para evitar o desencadear de uma crise. Mas preocupa para a sequência não só da Libertadores, como também da iminente Copa do Mundo de Clubes, que começa dentro de duas semanas. A dificuldade para jogar contra o saco de pancadas do grupo precisa gerar uma reflexão interna de como furar retrancas. Até porque nomes importantes como De la Cruz e Plata, lesionados, ainda continuarão fora por um tempo, e Arrascaeta está suspenso do jogo de ida das oitavas . O sorteio dos confrontos das oitavas de final da Libertadores será na próxima segunda-feira, na sede da Conmebol no Paraguai. Antes, o Flamengo enfrenta o Fortaleza no domingo, às 18h30 (de Brasília) no Maracanã, com chance de assumir a liderança do Campeonato Brasileiro em caso de tropeço do Palmeiras diante do Cruzeiro no Mineirão. O elenco rubro-negro se reapresenta na tarde desta quinta-feira no Ninho do Urubu. + O mercado do Cartola vai fechar! Monte seu time agora! Assista: tudo sobre o Flamengo no ge, na Globo e no sportv",negative
35,fluminense,"Nesta semana, o ge publicou alguns avanços nas negociações do Fluminense que envolvem jogadores com contratos válidos até o final do ano. Paulo Henrique Ganso, Guga, Victor Hugo, por exemplo, são alguns deles. Mas há mais atletas em Laranjeiras que vivem situações parecida, e mostramos abaixo como está cada um deles e como os atletas estão sendo avaliados. O atual vínculo de Ganso é válido até o final de dezembro de 2025. Do lado do clube, há o interesse na renovação desde o final do ano passado. O episódio da miocardite fez com que as conversas fossem paralisadas devido à incerteza quanto a situação do coração do jogador após o tratamento. De volta, o objetivo permanece. No último sábado, ele se tornou o quarto atleta com mais vitórias pelo clube no século. Do lado do jogador, também há o desejo de ficar. A relação de Ganso com a diretoria é boa e, a pessoas próximas, ele diz estar adaptado ao Rio de Janeiro e feliz com o fato de o filho, Enrico, estar atuando nas categorias de base do clube. Pessoas ligadas ao atleta acreditam que, se for apresentado um projeto interessante, a tendência é que o acordo seja fechado. O Fluminense propôs uma extensão para o lateral-direito no início do ano, que foi recusada. Existe a expectativa de que as conversas sejam retomadas na janela do meio do ano. Há o interesse do clube em continuar com o atleta. Ele virou titular após as dores musculares de Samuel Xavier e decidiu o clássico contra o Vasco, no último sábado. Teve o seu empréstimo renovado junto ao Tricolor já neste primeiro semestre. Antes, tinha vínculo até o final de junho. Agora, vai até o final de dezembro. Nonato pertence ao Santos, com quem tem contrato até o final de 2026. Neste momento, ele é uma peça bastante utilizada do elenco e conta com o apoio do técnico Renato Gaúcho. Os paulistas, por outro lado, não o têm em seus planos. No início da temporada, renovou até o final do ano devido a saída de Antônio Carlos para o Sport. Também aceitou uma redução salarial para continuar no elenco. Disputou apenas cinco jogos em 2025 e está no final da fila entre os zagueiros. Tem recebido sondagens visando a janela de meio de ano, mas nenhuma proposta formal foi enviada ao Fluminense até o momento. Não deve ter o seu contrato renovado e retornará ao FC Cascavel. O Tricolor tem a opção de compra, mas não deve executá-la. Victor Hugo está à disposição, mas como tem contrato válido até o final de junho, não tem sido relacionado para as partidas. Ele está fora dos planos do técnico Renato Gaúcho. O jogador de 25 anos, que estava no Goiás e pertence ao Primavera-SP, assinou vínculo por empréstimo com opção de compra até o fim de 2025. Nesta temporada, tem 14 jogos disputados e um gol marcado. Começou a ganhar mais espaço com o técnico Renato Gaúcho nos últimos jogos. + ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp A cláusula de compra prevista no acordo respalda o clube até o fim do ano e dá tempo para que a decisão de adquirir ou não o atacante seja tomada. Ele será avaliado durante os próximos meses antes de que o martelo seja batido. Há situações de jogadores que seguem no elenco, mas não são utilizados, como o zagueiro Davi Alves, o meia Gustavo Apis e o atacante Lucas Ribeiro. Cada caso será avaliado individualmente. Assista: tudo sobre o Fluminense no ge, na Globo e no sportv",neutral
36,fluminense,"O Fluminense encerrou a preparação para a última partida da fase de grupos da Copa Sul-Americana 2025, contra o Once Caldas. A tendência é que Renato Gaúcho mantenha a rotação que vem fazendo nas últimas partidas, a fim de dosar a carga de alguns jogadores. + Ganso, Guga, Victor Hugo... Entenda as situações de atletas com contrato até o fim de 2025 no Fluminense O capitão Thiago Silva pode começar a partida no banco de reservas, como vem ocorrendo nos jogos do torneio continental. Ganso, que foi opção no banco contra o Vasco, deve voltar ao time titular como referência na construção das jogadas. Samuel Xavier, que ainda se recupera das dores sentidas na coxa no jogo contra a Aparecidense, é dúvida. Guga deve dar sequência à boa atuação que teve contra o Vasco, começando também na Sul-Americana. + O mercado do Cartola vai fechar! Monte seu time agora! Otávio, Cano, Canobbio e Bernal são desfalques certos para a partida, ainda em processo de recuperação de lesões. Keno, que vem lidando com um leve problema muscular, deve seguir fora da lista de relacionados. Escalação provável: Fábio, Guga, Ignácio (Thiago Silva), Freytes e Fuentes (Renê); Hércules, Martinelli (Nonato) e Ganso; Arias, Everaldo e Serna. O Fluminense é o segundo colocado do Grupo F da Copa Sul-Americana. Se vencer o Once Caldas, garante o topo da chave e a vaga direta nas oitavas de final do torneio. Em caso de tropeço, terá que disputar os playoffs. + Compre já seus ingressos para os jogos do Fluminense + ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp Assista: tudo sobre o Fluminense no ge, na Globo e no sportv",neutral
37,fluminense,"Recuperado de uma inflamação no coração e de volta ao Fluminense , Paulo Henrique Ganso vê a sua renovação de contrato voltar a ser tema dentro do clube. O Tricolor reabriu negociação com os empresários do atleta e quer avançar antes do início da Copa do Mundo de Clubes, em junho. + Victor Hugo não terá contrato renovado e caminha para deixar o Flu O atual vínculo de Ganso com o Fluminense é válido até o final de dezembro de 2025. Em julho deste ano, o jogador poderá assinar contrato com outro clube caso a renovação não seja assinada. Porém, a negociação não caminha para este lado e, neste momento, ambos buscam um comum acordo pela permanência. Do lado do Fluminense , havia o interesse na renovação desde o final do ano passado. Porém, o episódio da miocardite fez com que as conversas fossem paralisados devido a incerteza quanto a situação de Ganso após o tratamento. De volta, o interesse permanece. No último sábado, ele se tornou o quarto atleta com mais vitórias pelo clube no século. Do lado do jogador, também há o desejo de ficar. A relação de Ganso com a diretoria do Fluminense é boa e, a pessoas próximas, ele diz estar adaptado ao Rio de Janeiro e feliz com o fato do filho, Enrico, estar atuando nas categorias de base do clube. Pessoas ligadas ao atleta acreditam que, se o Fluminense apresentar um projeto interessante, a tendência é que o acordo seja fechado. O projeto, neste caso, não é só financeiro, mas um plano do clube para ele. Algo na linha de ser referência para os mais jovens, brigar por títulos e até mesmo uma possível aposentadoria. Quem acompanha situação de perto é o Santos, que já fez consultas para saber da possibilidade de uma transferência ou assinatura em caso de não renovação de contrato. Contratado em 2019, Ganso tem 277 jogos pelo Fluminense e quatro títulos conquistados: os Campeonato Cariocas de 2022 e 2023, a Conmebol Libertadores de 2023 e a Recopa Sul-Americana de 2024. Ao todo, ele marcou 27 gols. Assista: tudo sobre o Fluminense no ge, na Globo e no sportv",positive
38,fluminense,"O Fluminense trata o duelo contra o Once Caldas, nesta quinta-feira, no Maracanã, como uma decisão. Por que? Garantir a primeira colocação do Grupo F da Sul-Americana significa ter alguns benefícios no futuro, como mais tempo para descanso e premiação maior. Classificar direto para as oitavas de final significa ter um ""alívio"" no apertado calendário. Isso porque faria o Tricolor evitar os playoffs, o duelo contra os terceiros colocados que vem da Libertadores. São jogos de ida e volta. Ou seja, evitaria duas semanas tendo que entrar em campo e mais uma viagem a ser feita. Pode parecer bobagem, mas são poucas as semanas livres no calendário do Fluminense . Com a disputa da Copa do Mundo de Clubes e da Copa do Brasil, os meios de semanas serão recheados nos próximos meses. Duas semanas de descanso serão importantes, naturalmente. O Fluminense já está na próxima fase da Conmebol Sul-Americana. Mas como garantiu no mínimo uma vaga nos playoffs da competição, o Tricolor tem pelo menos US$ 500 mil (R$ 2,8 milhões) de premiação. Porém, esse valor ainda pode aumentar dependendo do que acontecer na 6ª rodada da fase de grupos. Caso o Tricolor fique na primeira colocação, irá direto para as oitavas de final e o valor subirá para US$ 600 mil (R$ 3,4 milhões). Vale lembrar que, nesta Sul-Americana, o Fluminense somou o seguinte em prêmios: US$ 900 mil (R$ 5,1 milhões) por estar na fase de grupos e US$ 115 mil (R$ 653 mil) por vitória na competição. Ou seja, somando com o mínimo garantido nos playoffs, são R$ 9,8 milhões. Evitar os playoffs da Sul-Americana também pode ser a chance de evitar uma pedreira vinda da Libertadores. Caso vá direto para as oitavas de final, irá enfrentar o vencedor desta fase. Ou seja, tem 50% de chance de evitar alguém que veio da principal competição do continente. Porém, nos playoffs, é 100% de certeza que irá enfrentar alguém da Libertadores. Neste momento, por exemplo, o Botafogo e o Bahia estão nesta faixa. A LDU, do Equador, que manda seus jogos na altitude, também. O Fluminense tenta garantir a vaga direta nas oitavas de final da Copa Sul-Americana, contra o Once Caldas. A bola rola na próxima quinta-feira, às 21h30, no Maracanã. Qualquer vitória garante o Tricolor na primeira posição do Grupo F. Assista: tudo sobre o Fluminense no ge, na Globo e no sportv",positive
